nisr_district_code,district_name,ndvi_mean,ndvi_peak,rainfall_mm,year,season,lead_months
57,Bugesera,0.5380443230600308,0.6266423741677623,226.4259327659745,2019,B,2
53,Gatsibo,0.6399932271184054,0.7280977060500033,242.05539560359784,2019,B,2
54,Kayonza,0.5714850941565616,0.6734439871364153,234.4213047892196,2019,B,2
55,Kirehe,0.6417820719395995,0.7264110252639956,263.1424925150946,2019,B,2
56,Ngoma,0.6275715706962093,0.7241872547283608,243.35162101224435,2019,B,2
52,Nyagatare,0.6311005381780898,0.7265487767141916,206.31253437233963,2019,B,2
51,Rwamagana,0.6411612800905877,0.7199977306098047,238.17544489651027,2019,B,2
12,Gasabo,0.5751611575282572,0.6589075686820285,237.11748755697,2019,B,2
13,Kicukiro,0.5535841666545069,0.6272056101084065,218.2473463700261,2019,B,2
11,Nyarugenge,0.566531275681938,0.6435820611768187,229.95254515471404,2019,B,2
44,Burera,0.5671370332119513,0.684966201508284,249.9343593390744,2019,B,2
42,Gakenke,0.6116283516468742,0.7084375776917008,265.132584520357,2019,B,2
45,Gicumbi,0.6268564136308329,0.7292822685734778,261.7840013400851,2019,B,2
43,Musanze,0.5523330038871919,0.7032410590018042,270.3239261725229,2019,B,2
41,Rulindo,0.6044798763732134,0.6954390826223287,270.053316723152,2019,B,2
22,Gisagara,0.6142845969349506,0.7036998608160855,300.91774123596497,2019,B,2
24,Huye,0.5960292680463848,0.7020427154779454,299.4439837476489,2019,B,2
28,Kamonyi,0.5840515212885805,0.6713268686213097,234.94723326810552,2019,B,2
27,Muhanga,0.5969290208080159,0.6827620270417751,252.01040729702143,2019,B,2
25,Nyamagabe,0.574314796426286,0.7256906177781621,301.31164223342853,2019,B,2
21,Nyanza,0.6117763635240997,0.7008520410100512,268.92477667436503,2019,B,2
23,Nyaruguru,0.6020727278434443,0.7522629267870283,333.0145331851049,2019,B,2
26,Ruhango,0.5921912020280744,0.672792287379924,246.99885633203303,2019,B,2
31,Karongi,0.6444596294549677,0.7353776938085289,246.556714482855,2019,B,2
35,Ngororero,0.6065359213202832,0.6961935087378949,251.74793851010656,2019,B,2
34,Nyabihu,0.6184429674749897,0.7430774962816271,257.3531881409866,2019,B,2
37,Nyamasheke,0.6490230601060271,0.7816428223339478,289.15305562626975,2019,B,2
33,Rubavu,0.5443090201869305,0.7268818528579867,210.1070045967248,2019,B,2
36,Rusizi,0.6788403882632603,0.8131712259767566,310.0562439775173,2019,B,2
32,Rutsiro,0.6039818029841717,0.7396501706113264,233.0361354216628,2019,B,2
57,Bugesera,0.5181334491295092,0.6561944403247576,345.9221439008281,2019,B,3
53,Gatsibo,0.6261459172886796,0.7522327908132604,405.6635081231897,2019,B,3
54,Kayonza,0.5635562676008251,0.6990793406743739,402.2171743866774,2019,B,3
55,Kirehe,0.6285404472760127,0.7418762496925649,380.24615983913606,2019,B,3
56,Ngoma,0.5976760429751975,0.7392663885469151,373.7591528377212,2019,B,3
52,Nyagatare,0.6286956502134978,0.7515647013672888,340.01367937914097,2019,B,3
51,Rwamagana,0.6138605545343074,0.7457508456740372,389.9341733697161,2019,B,3
12,Gasabo,0.5317092510463365,0.6859650754377549,375.0124409457064,2019,B,3
13,Kicukiro,0.5159809961286119,0.6511582084129712,349.15108625625453,2019,B,3
11,Nyarugenge,0.5196152505502726,0.6616758007614908,367.3399418463137,2019,B,3
44,Burera,0.5117317294854905,0.7042064221501827,389.7050263845512,2019,B,3
42,Gakenke,0.554496815273929,0.7378263922642849,427.3874638431308,2019,B,3
45,Gicumbi,0.5637409467546639,0.7459700439287253,426.6031427930921,2019,B,3
43,Musanze,0.4703651553598493,0.7188942518625623,452.0909788017964,2019,B,3
41,Rulindo,0.5418894188068283,0.7202741260118145,441.2315795857076,2019,B,3
22,Gisagara,0.5992495475867354,0.7378434651291391,497.4732910782597,2019,B,3
24,Huye,0.5428978968591839,0.722046944753495,510.63745869646345,2019,B,3
28,Kamonyi,0.5293435631490853,0.6882279675771161,393.18206131729016,2019,B,3
27,Muhanga,0.5280543488606553,0.70080709361163,399.6160651879729,2019,B,3
25,Nyamagabe,0.4807580243126193,0.7355483771755095,472.29284859086783,2019,B,3
21,Nyanza,0.5545354099383653,0.7186686559597251,448.45242016931087,2019,B,3
23,Nyaruguru,0.5278360046157986,0.772585310381822,515.9898836748208,2019,B,3
26,Ruhango,0.526911474153945,0.6873628393639206,388.5052721033904,2019,B,3
