nisr_district_code,district_name,rainfall_climatology_mm,season
57,Bugesera,537.6038856609841,A
53,Gatsibo,563.150757883023,A
54,Kayonza,539.3123998898976,A
55,Kirehe,552.1756797854943,A
56,Ngoma,572.6690576586709,A
52,Nyagatare,532.7701165154426,A
51,Rwamagana,537.6724565537642,A
12,Gasabo,566.5595317284136,A
13,Kicukiro,549.0361204926747,A
11,Nyarugenge,569.3818444225695,A
44,Burera,668.1525153546401,A
42,Gakenke,636.4110449199464,A
45,Gicumbi,608.0765628121432,A
43,Musanze,760.948092805632,A
41,Rulindo,616.511621175987,A
22,Gisagara,689.784448705568,A
24,Huye,675.6982206230717,A
28,Kamonyi,570.1193998072029,A
27,Muhanga,631.7151372206748,A
25,Nyamagabe,789.1854214642077,A
21,Nyanza,621.5758942561716,A
23,Nyaruguru,831.6756801327349,A
26,Ruhango,592.6909513481587,A
31,Karongi,695.3883730727514,A
35,Ngororero,673.8697186110531,A
34,Nyabihu,727.5725236094592,A
37,Nyamasheke,833.533010090417,A
33,Rubavu,665.9829310230813,A
36,Rusizi,877.9863588585017,A
32,Rutsiro,670.2923260847152,A
57,Bugesera,376.5577304029062,B
53,Gatsibo,399.5107073748903,B
54,Kayonza,401.287028932554,B
55,Kirehe,404.03043819429405,B
56,Ngoma,413.0680489545157,B
52,Nyagatare,360.97244115131747,B
51,Rwamagana,405.7263000799651,B
12,Gasabo,411.9794110900765,B
13,Kicukiro,397.47609124233674,B
11,Nyarugenge,409.9352091721143,B
44,Burera,455.26330294668236,B
42,Gakenke,461.64445104624207,B
45,Gicumbi,447.5296024557523,B
43,Musanze,522.1300409683338,B
41,Rulindo,458.42318605633886,B
22,Gisagara,453.8242522898402,B
24,Huye,471.1706769969464,B
28,Kamonyi,408.27005595496064,B
27,Muhanga,440.63969550551445,B
25,Nyamagabe,516.943896955481,B
21,Nyanza,432.63538282979823,B
23,Nyaruguru,524.0032955979748,B
26,Ruhango,416.2885976938609,B
31,Karongi,460.09706221433385,B
35,Ngororero,480.20316599319426,B
34,Nyabihu,512.990985194441,B
37,Nyamasheke,504.1889195905493,B
33,Rubavu,451.64066895916454,B
36,Rusizi,512.9579687246933,B
32,Rutsiro,467.55237938241476,B
