nisr_district_code,district_name,gaul_district_code,rainfall_mm,year,season
57,Bugesera,21974,356.2284000991758,2019,B
53,Gatsibo,21978,423.8718825216793,2019,B
54,Kayonza,21984,412.4393009917547,2019,B
55,Kirehe,21986,385.23945777141705,2019,B
56,Ngoma,21989,383.4083739508681,2019,B
52,Nyagatare,21992,358.2974558947084,2019,B
51,Rwamagana,22003,400.3559697638772,2019,B
12,Gasabo,21977,392.2251919781343,2019,B
13,Kicukiro,21985,364.88464466781335,2019,B
11,Nyarugenge,21996,384.4218308204784,2019,B
44,Burera,21975,424.2183581342525,2019,B
42,Gakenke,21976,459.21654070015984,2019,B
45,Gicumbi,21979,448.91246500793886,2019,B
43,Musanze,21988,503.8715346231731,2019,B
41,Rulindo,22000,465.4860874067467,2019,B
22,Gisagara,21980,507.5570657440009,2019,B
24,Huye,21981,523.8747033382198,2019,B
28,Kamonyi,21982,409.5743289200632,2019,B
27,Muhanga,21987,420.97284491993673,2019,B
25,Nyamagabe,21993,509.59311460396896,2019,B
21,Nyanza,21995,462.9436801974917,2019,B
23,Nyaruguru,21997,537.5210096193588,2019,B
26,Ruhango,21999,404.8856029319146,2019,B
31,Karongi,21983,421.7657302896407,2019,B
35,Ngororero,21990,434.0985718030247,2019,B
34,Nyabihu,21991,478.611922496342,2019,B
37,Nyamasheke,21994,497.385253625033,2019,B
33,Rubavu,21998,400.99455374821406,2019,B
36,Rusizi,22001,509.889697938184,2019,B
32,Rutsiro,22002,412.3531345707327,2019,B
57,Bugesera,21974,343.6357746795153,2020,B
53,Gatsibo,21978,433.671640197846,2020,B
54,Kayonza,21984,451.68717041779314,2020,B
55,Kirehe,21986,409.2966933921634,2020,B
56,Ngoma,21989,393.72533726914565,2020,B
52,Nyagatare,21992,380.67400883413,2020,B
51,Rwamagana,22003,391.445732824848,2020,B
12,Gasabo,21977,375.7751073423544,2020,B
13,Kicukiro,21985,364.1592522069512,2020,B
11,Nyarugenge,21996,361.76827404270455,2020,B
44,Burera,21975,438.4198898194129,2020,B
42,Gakenke,21976,431.0943407424051,2020,B
45,Gicumbi,21979,413.7421423898175,2020,B
43,Musanze,21988,538.2625444844034,2020,B
