geo_level,geo_code,crop,season,year,total_production_kg,total_area_ha,yield_kg_ha,yield_kg_ha_ci_low,yield_kg_ha_ci_high,n_plots,n_segments,reliability
district,11.0,beans,B,2020,158983.05553993225,402.0124750090698,395.4679653569095,316.83117571911544,474.1047549947035,20,13,ok
district,12.0,beans,A,2021,340642.9107835388,610.6444708780903,557.8416362203419,398.6646355792707,717.0186368614131,17,13,ok
district,12.0,beans,A,2023,410191.34320922854,755.2448343273475,543.1236660818237,409.4439568360348,676.8033753276126,20,11,ok
district,12.0,beans,A,2025,195754.99029541016,493.18919333538355,396.91662538576924,306.1028240108932,487.7304267606453,13,11,ok
district,12.0,beans,B,2021,518067.8627333069,696.9159132526354,743.3721240707339,619.9352174625255,866.8090306789422,19,11,ok
district,12.0,beans,B,2023,935737.3585031128,1242.247594613846,753.2615579698407,472.5620161803277,1033.9610997593538,30,13,ok
district,12.0,beans,B,2025,602058.4475708008,1259.1000610898282,478.1656884756898,382.716244095811,573.6151328555686,26,19,ok
district,13.0,beans,B,2025,142982.6555328369,263.2222739326437,543.2012017699723,383.2267050416299,703.1756984983147,16,10,ok
district,21.0,beans,A,2020,1078739.1638980163,2205.1733108670996,489.1856610915736,336.80762044329026,641.5637017398569,39,19,ok
district,21.0,beans,A,2021,1125781.0792243956,2213.1083218171057,508.6877438968085,364.0196643268556,653.3558234667614,39,19,ok
district,21.0,beans,A,2023,880603.4914001464,2024.4048330224482,434.99377053225084,322.7932698834593,547.1942711810424,35,21,ok
district,21.0,beans,A,2024,404014.4446411133,1087.473104348413,371.5167235176715,290.46089239587997,452.572554639463,18,13,ok
district,21.0,beans,A,2025,879586.0739440918,1708.503926273269,514.828242661823,407.429274265632,622.227211058014,28,19,ok
district,21.0,beans,B,2020,1282691.507748108,1992.3630794891326,643.8040942201189,558.8887409374257,728.7194475028122,34,15,ok
district,21.0,beans,B,2021,1303574.7265737914,2662.134526153894,489.6727471008479,365.05403571564244,614.2914584860533,60,24,ok
district,21.0,beans,B,2023,1083494.4029431152,2093.80821249223,517.4754767311985,412.4191837800543,622.5317696823427,35,16,ok
district,21.0,beans,B,2024,520819.38397216797,1003.669580548311,518.9151829107354,445.196017215207,592.6343486062639,15,11,ok
district,21.0,beans,B,2025,1899942.1684265137,4537.076861254969,418.7590879606531,357.153249222098,480.36492669920824,73,30,ok
district,22.0,beans,A,2020,365767.9822132522,905.4088909631395,403.9809923052138,325.62256534450336,482.3394192659243,16,10,ok
district,22.0,beans,A,2021,627519.4462451935,1893.892236385857,331.3385176775941,273.8056845041361,388.8713508510521,32,19,ok
district,22.0,beans,A,2022,520775.0648773193,1291.6462802125632,403.187058914935,262.46918120267776,543.9049366271922,20,14,ok
district,22.0,beans,A,2023,287124.9506542969,989.6273553515969,290.1344118082574,185.48641547020304,394.7824081463118,18,16,ok
district,22.0,beans,A,2024,233212.0609741211,726.8457561358194,320.8549530700469,228.15933707853873,413.5505690615551,11,10,ok
district,22.0,beans,B,2020,964776.7099017334,1594.3908527044393,605.1067768391038,472.09472706874044,738.1188266094671,27,16,ok
district,22.0,beans,B,2021,1716811.2140063478,2894.9776459607506,593.0309052305629,478.8000527074979,707.2617577536279,53,23,ok
district,22.0,beans,B,2022,954730.5898623657,1475.8329377150317,646.909664003389,484.89593570486073,808.9233923019174,24,17,ok
district,22.0,beans,B,2023,1482132.0072796633,1742.349651157972,850.65130658168,701.9538740149079,999.3487391484522,29,16,ok
district,22.0,beans,B,2024,894130.795501709,1470.4157911862003,608.0802456429035,495.09454138872337,721.0659498970836,24,17,ok
district,22.0,beans,B,2025,1347818.2344970703,3545.6366875393996,380.1343322156419,304.85375790790033,455.4149065233835,56,31,ok
district,23.0,beans,A,2020,1188314.8064995408,2049.7280660026195,579.7426625557179,450.2359319693278,709.2493931421079,31,15,ok
district,23.0,beans,A,2021,1208810.294675293,2590.398126333478,466.6503895238207,388.3021472952713,544.9986317523701,39,16,ok
district,23.0,beans,A,2022,1085606.5691235352,1779.0256022330632,610.2253771732477,506.14943231941675,714.3013220270786,27,17,ok
district,23.0,beans,A,2023,1151367.3191033935,1692.6206002802232,680.2276416302495,496.680692259359,863.7745910011402,26,17,ok
district,23.0,beans,A,2024,1300584.502380371,2131.248798375251,610.2452718668352,501.35195717580416,719.1385865578662,31,15,ok
district,23.0,beans,A,2025,1479823.8176269531,2281.264252180873,648.6858399732744,563.0051037467374,734.3665761998113,33,15,ok
district,23.0,beans,B,2020,1281305.9995031736,1894.5487706268605,676.3119637607537,567.8881085474802,784.7358189740271,29,16,ok
district,23.0,beans,B,2021,1462241.7790567018,2191.592681016227,667.2050841028863,536.4157760232581,797.9943921825145,47,21,ok
district,23.0,beans,B,2022,812027.0563415526,1603.107230960126,506.5332129125367,382.86259065697,630.2038351681035,23,12,ok
district,23.0,beans,B,2023,1748784.7579296874,2960.9677786449615,590.6125593605717,486.77378490580907,694.4513338153344,44,21,ok
district,23.0,beans,B,2024,1490639.4637145996,1660.0315950477686,897.9584895621854,728.2884414902683,1067.6285376341025,26,11,ok
district,23.0,beans,B,2025,2767956.292663574,4350.54597478439,636.2319370273411,553.8633430052612,718.6005310494211,64,20,ok
district,24.0,beans,A,2020,460284.937551623,560.5165804860736,821.1798786620533,587.0311462894057,1055.3286110347008,11,10,ok
district,24.0,beans,A,2021,900525.0485894775,1771.83882936407,508.24320681169667,371.00437594051516,645.4820376828782,32,20,ok
district,24.0,beans,A,2023,403404.7943688965,960.3822597663377,420.0460704751517,357.98150183407876,482.1106391162246,18,11,ok
district,24.0,beans,A,2024,714744.2816772461,1769.0664899804858,404.02341332299517,310.48840743715675,497.5584192088336,35,15,ok
district,24.0,beans,A,2025,1585960.8874511719,2625.970309077801,603.9523302942964,478.683876218779,729.2207843698138,50,21,ok
district,24.0,beans,B,2020,299334.6737512207,726.9424880268803,411.7721534803894,270.4714622341206,553.0728447266582,12,12,ok
district,24.0,beans,B,2021,960254.6852337647,1907.5982478173526,503.38413045434214,367.5704676820893,639.197793226595,39,20,ok
district,24.0,beans,B,2023,609619.0697586059,1138.0568780216083,535.6666099310996,395.14408130541244,676.1891385567868,22,16,ok
district,24.0,beans,B,2024,885660.3416290283,1553.207684824097,570.2137262663175,479.3140146658322,661.1134378668029,29,15,ok
district,24.0,beans,B,2025,1868028.5094833374,5085.814666004406,367.3017268934273,337.92106022498666,396.68239356186797,88,28,ok
district,25.0,beans,A,2020,774736.6529423248,1842.9341916510002,420.3821582192654,299.5605458916653,541.2037705468656,28,20,ok
district,25.0,beans,A,2021,1177423.7641247557,2666.1224877709124,441.6240324761577,389.67246030586267,493.57560464645275,43,22,ok
district,25.0,beans,A,2022,1662998.6407202147,2962.220811206578,561.4026592578149,473.91618232757867,648.8891361880511,47,24,ok
district,25.0,beans,A,2023,1275199.8914123536,2994.3543846420507,425.8680595566155,343.8732836271153,507.86283548611567,48,26,ok
district,25.0,beans,A,2024,1483184.7739868164,2513.5077302500363,590.0856226287689,521.8868461239359,658.2843991336018,39,20,ok
district,25.0,beans,A,2025,2181640.5811462402,4185.8446303728115,521.194830146367,474.3015800097484,568.0880802829857,67,24,ok
district,25.0,beans,B,2020,814031.11837677,1901.630124201441,428.07016360166745,327.8493270459477,528.2910001573872,29,18,ok
district,25.0,beans,B,2021,716917.8221118165,1625.257508294248,441.1102969548753,297.88419428534246,584.3363996244082,37,18,ok
district,25.0,beans,B,2022,787763.6808337403,1953.4344956532893,403.271101532528,356.185451500341,450.356751564715,31,21,ok
district,25.0,beans,B,2023,1596915.652088623,3155.468373735745,506.0788012899783,404.24431997426046,607.913282605696,50,21,ok
district,25.0,beans,B,2024,1398195.1531982422,2425.1184984130723,576.5471477427519,471.2176189695511,681.8766765159528,37,19,ok
district,25.0,beans,B,2025,2440659.880279541,4260.702328225307,572.8304143923003,495.4265820289179,650.2342467556828,68,27,ok
district,26.0,beans,A,2020,1319135.386719482,2661.8047961349707,495.57931093779325,373.0998652181382,618.0587566574483,47,23,ok
district,26.0,beans,A,2021,942449.9498243714,2291.4149411735634,411.2960655400498,277.50198702821456,545.0901440518851,38,22,ok
district,26.0,beans,A,2022,531725.4442626953,776.4800297316759,684.7895939402856,465.41919118642943,904.1599966941418,14,10,ok
district,26.0,beans,A,2023,311370.1932373047,1174.4732910805787,265.1147502476002,91.6965674969046,438.53293299829585,22,16,use_with_caution
district,26.0,beans,A,2024,664871.5179748535,1723.3897195257935,385.79290014437305,290.97887145505075,480.60692883369535,30,17,ok
district,26.0,beans,A,2025,722497.6298217773,1974.9096078394666,365.83832847528817,319.30504915531145,412.3716077952649,34,18,ok
district,26.0,beans,B,2020,2128417.579497223,3421.241314163441,622.1185189965653,546.6746512431628,697.5623867499678,57,24,ok
district,26.0,beans,B,2021,1635814.6906210328,3341.346914538028,489.56745063007,365.42993216736915,613.704969092771,56,27,ok
district,26.0,beans,B,2023,2118787.2314627073,2818.7184370398572,751.6845966664911,636.0823817234461,867.286811609536,48,21,ok
