crop,feature,mean_abs_shap,direction
maize,soil_ph,0.1864575552985275,positive
maize,inorganic_fert,0.1725528538982556,positive
maize,pesticide,0.14428445905703854,positive
maize,rainfall_mm,0.13326542372337155,negative
maize,plot_area_ha,0.11301839308459327,negative
maize,improved_seed,0.08145043406003323,negative
maize,soil_nitrogen,0.05497089003493558,negative
maize,organic_fert,0.03797398427150529,positive
maize,land_consolidation,0.03439118790252184,negative
maize,erosion_degree,0.02841441883783065,negative
maize,soil_carbon,0.02689708198115805,positive
maize,irrigated,0.022595433524480468,negative
maize,soil_texture_class,0.011960675201872332,negative
maize,anti_erosion,0.008247306990726566,positive
maize,mechanized,0.007819870843825365,positive
maize,sowing_month,0.0,positive
beans,soil_nitrogen,0.17587600548662968,negative
beans,soil_ph,0.1066903242791803,positive
beans,plot_area_ha,0.08465180715845186,negative
beans,rainfall_mm,0.07073617348549607,negative
beans,inorganic_fert,0.04931348297435633,negative
beans,organic_fert,0.0382904303135205,negative
beans,pesticide,0.025618782656963938,negative
beans,anti_erosion,0.02475429147204438,negative
beans,land_consolidation,0.020197214783049557,positive
beans,irrigated,0.013558061595777876,negative
beans,erosion_degree,0.013424023261970924,negative
beans,improved_seed,0.01141698161026729,positive
beans,soil_carbon,0.007838893194519045,positive
beans,soil_texture_class,0.007538254856635608,positive
beans,mechanized,0.0026053632145456164,positive
beans,sowing_month,0.0,positive
irish_potato,soil_nitrogen,0.32989348035220745,positive
irish_potato,soil_ph,0.16193478529376715,negative
irish_potato,rainfall_mm,0.12686826846358262,negative
irish_potato,pesticide,0.09354064354984144,positive
irish_potato,inorganic_fert,0.06379117802436443,negative
irish_potato,plot_area_ha,0.058291437204881426,negative
irish_potato,land_consolidation,0.04522809603576854,positive
irish_potato,erosion_degree,0.04081228780578815,positive
irish_potato,improved_seed,0.026150459117687846,negative
irish_potato,soil_texture_class,0.025817895759864956,positive
irish_potato,organic_fert,0.01579765987549261,positive
irish_potato,irrigated,0.0128312963136791,negative
irish_potato,anti_erosion,0.009463668532800389,positive
irish_potato,soil_carbon,0.008197082050984711,positive
irish_potato,mechanized,0.0,positive
irish_potato,sowing_month,0.0,positive
sorghum,soil_nitrogen,0.09343603494403042,positive
sorghum,soil_ph,0.0851021881971024,negative
sorghum,rainfall_mm,0.07059395931786153,negative
sorghum,plot_area_ha,0.05832268643179177,negative
sorghum,inorganic_fert,0.05367245249452675,negative
sorghum,pesticide,0.03745370855184316,negative
sorghum,erosion_degree,0.022705331670360044,positive
sorghum,anti_erosion,0.01935181201130021,negative
sorghum,soil_texture_class,0.018606397933979325,positive
sorghum,land_consolidation,0.012854628110195658,negative
sorghum,organic_fert,0.012053622163032622,negative
sorghum,soil_carbon,0.011287602820451745,positive
sorghum,improved_seed,0.008690750069503084,positive
sorghum,irrigated,0.007860780721141056,positive
sorghum,mechanized,0.0018418191840766911,negative
sorghum,sowing_month,0.0,positive
