district_code,crop,season,year,lead_months,model,predicted_yield_kg_ha,ci_low,ci_high,actual_yield_kg_ha,is_backtest,reliability
31.0,maize,A,2019,2,baseline_district_mean,1364.6098051880338,464.4122201986146,2264.807390177453,788.1633909850171,True,ok
32.0,maize,A,2019,2,baseline_district_mean,985.8258003238377,85.62821533441854,1886.0233853132568,733.6168855425368,True,use_with_caution
33.0,maize,A,2019,2,baseline_district_mean,1452.2713759204173,552.0737909309981,2352.4689609098364,2212.3411874211693,True,ok
35.0,maize,A,2019,2,baseline_district_mean,514.6641779936679,-385.5334069957513,1414.861762983087,552.6696706925417,True,ok
37.0,maize,A,2019,2,baseline_district_mean,1744.0846953316081,843.887110342189,2644.2822803210274,1022.7829578099321,True,use_with_caution
41.0,maize,A,2019,2,baseline_district_mean,1076.8232709047873,176.62568591536808,1977.0208558942063,1232.4144309407845,True,ok
42.0,maize,A,2019,2,baseline_district_mean,1642.9022441746645,742.7046591852453,2543.0998291640835,909.3315796922388,True,use_with_caution
43.0,maize,A,2019,2,baseline_district_mean,1940.581454239122,1040.383869249703,2840.779039228541,1453.8246885236751,True,ok
44.0,maize,A,2019,2,baseline_district_mean,1680.3612245154873,780.1636395260681,2580.5588095049065,846.8796102696047,True,ok
52.0,maize,A,2019,2,baseline_district_mean,2650.1782750599973,1749.980690070578,3550.3758600494166,2167.677822130253,True,ok
53.0,maize,A,2019,2,baseline_district_mean,2123.841722189471,1223.6441372000518,3024.0393071788903,2097.337381458116,True,ok
55.0,maize,A,2019,2,baseline_district_mean,1876.7994388711468,976.6018538817276,2776.997023860566,685.3859973365916,True,use_with_caution
56.0,maize,A,2019,2,baseline_district_mean,2096.712642634761,1196.5150576453416,2996.91022762418,905.2572167019887,True,ok
23.0,maize,A,2020,2,baseline_district_mean,1479.7900657070168,579.5924807175976,2379.987650696436,1368.161249900747,True,ok
31.0,maize,A,2020,2,baseline_district_mean,1249.5437715865078,349.3461865970886,2149.741356575927,1363.4935589926474,True,ok
32.0,maize,A,2020,2,baseline_district_mean,936.8427680952918,36.64518310587266,1837.0403530847111,978.5320466852669,True,ok
34.0,maize,B,2020,2,baseline_district_mean,978.9120935382314,78.7145085488122,1879.1096785276504,1101.4621537925477,True,ok
35.0,maize,A,2020,2,baseline_district_mean,599.8338309036299,-300.3637540857893,1500.0314158930491,382.3303648726177,True,use_with_caution
35.0,maize,B,2020,2,baseline_district_mean,786.6495857040906,-113.54799928532861,1686.8471706935097,452.24298558438744,True,ok
41.0,maize,A,2020,2,baseline_district_mean,1145.145881202683,244.94829621326392,2045.3434661921024,1027.446600047097,True,ok
42.0,maize,A,2020,2,baseline_district_mean,1551.8396621258205,651.6420771364013,2452.0372471152396,1455.7070719853032,True,ok
43.0,maize,A,2020,2,baseline_district_mean,1860.9075249069672,960.709939917548,2761.1051098963862,1931.8682645166048,True,ok
44.0,maize,A,2020,2,baseline_district_mean,1525.3655975950921,625.168012605673,2425.563182584511,1776.8533717919743,True,ok
45.0,maize,A,2020,2,baseline_district_mean,1368.9114471440444,468.7138621546252,2269.1090321334636,1000.2372581132406,True,ok
51.0,maize,A,2020,2,baseline_district_mean,1469.485072628001,569.2874876385819,2369.6826576174203,1984.5264389537363,True,ok
52.0,maize,A,2020,2,baseline_district_mean,2544.619334260931,1644.4217492715115,3444.81691925035,2801.0314669246513,True,ok
