crop,lead_months,model,mape_pct,n_years_tested
maize,2,baseline_district_mean,54.28562085027837,7
maize,2,baseline_last_year,62.11932589483571,7
maize,2,ridge,54.89290628894331,7
maize,2,lgbm,57.5368406649636,7
maize,3,baseline_district_mean,54.28562085027837,7
maize,3,baseline_last_year,62.11932589483571,7
maize,3,ridge,56.46886283525503,7
maize,3,lgbm,55.057603963363555,7
maize,4,baseline_district_mean,54.28562085027837,7
maize,4,baseline_last_year,62.11932589483571,7
maize,4,ridge,55.816572329916106,7
maize,4,lgbm,58.81026979245987,7
beans,2,baseline_district_mean,24.53114217755835,7
beans,2,baseline_last_year,28.99525665414149,7
beans,2,ridge,24.49207894579994,7
beans,2,lgbm,26.01207465425552,7
beans,3,baseline_district_mean,24.53114217755835,7
beans,3,baseline_last_year,28.99525665414149,7
beans,3,ridge,24.172671648393937,7
beans,3,lgbm,26.42065053630041,7
beans,4,baseline_district_mean,24.53114217755835,7
beans,4,baseline_last_year,28.99525665414149,7
beans,4,ridge,24.73930399915239,7
beans,4,lgbm,25.367402262638016,7
irish_potato,2,baseline_district_mean,43.244115995690045,6
irish_potato,2,baseline_last_year,49.77754358974393,6
irish_potato,2,ridge,43.67256498615253,6
irish_potato,2,lgbm,48.8307123025986,6
irish_potato,3,baseline_district_mean,43.244115995690045,6
irish_potato,3,baseline_last_year,49.77754358974393,6
irish_potato,3,ridge,43.49918955180276,6
irish_potato,3,lgbm,43.38604494722024,6
irish_potato,4,baseline_district_mean,43.244115995690045,6
irish_potato,4,baseline_last_year,49.77754358974393,6
irish_potato,4,ridge,43.40371653801373,6
irish_potato,4,lgbm,47.02504477334575,6
sorghum,2,baseline_district_mean,30.109638303160207,7
sorghum,2,baseline_last_year,31.60856861062082,7
sorghum,2,ridge,30.126915927779805,7
sorghum,2,lgbm,31.363986930068986,7
sorghum,3,baseline_district_mean,30.109638303160207,7
sorghum,3,baseline_last_year,31.60856861062082,7
sorghum,3,ridge,29.66720263820118,7
sorghum,3,lgbm,30.740135213090774,7
sorghum,4,baseline_district_mean,30.109638303160207,7
sorghum,4,baseline_last_year,31.60856861062082,7
sorghum,4,ridge,30.166721723138778,7
sorghum,4,lgbm,31.052201336687357,7
