crop,district_code,improved_seed,inorganic_fert,organic_fert,irrigated,mean_yield_kg_ha,ci_low,ci_high,n_plots,reliability
maize,11.0,False,False,False,False,507.09734829650336,422.492739697479,595.2827465833786,15,suppressed
maize,11.0,False,False,False,True,542.1618388184611,435.8768821278715,648.5450041675716,15,suppressed
maize,11.0,False,False,True,False,785.1348279435854,691.1447739294503,872.6870425799052,15,suppressed
maize,11.0,False,False,True,True,772.2231351114514,677.1046962744189,890.1186043875405,15,suppressed
maize,11.0,False,True,False,False,830.0253191132742,708.0412184537306,980.7039798397341,15,suppressed
maize,11.0,False,True,False,True,851.3053779331409,732.4676677982177,983.0599936243813,15,suppressed
maize,11.0,False,True,True,False,1105.4877971544674,1008.9865589003202,1200.9946674154417,15,suppressed
maize,11.0,False,True,True,True,1051.648748011993,952.4434804859014,1154.6498226354806,15,suppressed
maize,11.0,True,False,False,False,546.871149105083,450.9023841190714,647.7963288305552,15,suppressed
maize,11.0,True,False,False,True,597.2938086200398,468.09603273451546,720.3591095634623,15,suppressed
maize,11.0,True,False,True,False,900.0253573192379,806.6476838345186,1000.6713795372357,15,suppressed
maize,11.0,True,False,True,True,895.9036751309453,763.1797260085309,1031.7981994844438,15,suppressed
maize,11.0,True,True,False,False,1180.0151119593297,959.1181283684741,1435.5636047918813,15,suppressed
maize,11.0,True,True,False,True,1246.550199960294,1015.5275234530322,1495.3955980986182,15,suppressed
maize,11.0,True,True,True,False,1640.5816057286545,1482.6066095173494,1787.62045355526,15,suppressed
maize,11.0,True,True,True,True,1594.142866916816,1394.4226995255115,1834.9055817279755,15,suppressed
maize,12.0,False,False,False,False,560.2909241198245,529.8749318083562,588.0540923510025,125,ok
maize,12.0,False,False,False,True,576.0791946050471,544.6012611197829,603.8156731893076,125,ok
maize,12.0,False,False,True,False,715.4982445380922,683.932964521156,747.4019191556123,125,ok
maize,12.0,False,False,True,True,729.7380879041478,697.5012378757878,759.867465846566,125,ok
maize,12.0,False,True,False,False,840.018324472658,801.6457522333604,887.5819913514227,125,ok
maize,12.0,False,True,False,True,836.5376717993763,804.1154339655975,877.9527712248051,125,ok
maize,12.0,False,True,True,False,961.2257341059714,921.6634597160861,1011.2342315038698,125,ok
maize,12.0,False,True,True,True,949.6982619409248,908.5891623116314,998.4958944720407,125,ok
maize,12.0,True,False,False,False,643.5640129414805,604.8709201903106,684.2522332626885,125,ok
maize,12.0,True,False,False,True,676.1674090737466,641.4872288768627,717.1306178324814,125,ok
maize,12.0,True,False,True,False,859.5125680228051,817.8971121185502,905.703694002163,125,ok
maize,12.0,True,False,True,True,857.856902269319,821.1267048813537,901.8397780236493,125,ok
maize,12.0,True,True,False,False,1072.5310459168518,1014.9127163654541,1129.7152104485633,125,ok
maize,12.0,True,True,False,True,1117.1704400987555,1060.1474383766197,1180.7145988790423,125,ok
maize,12.0,True,True,True,False,1266.6272833764194,1207.642377502091,1336.0262083662103,125,ok
maize,12.0,True,True,True,True,1253.6281556314657,1194.250682372929,1327.5968209566477,125,ok
maize,13.0,False,False,False,False,676.3243615837723,634.2392731390067,714.2612969385468,92,ok
maize,13.0,False,False,False,True,929.2013357358879,881.3381489771796,976.2575610008805,92,ok
maize,13.0,False,False,True,False,648.809958662329,609.0281040165222,696.7540864131295,92,ok
maize,13.0,False,False,True,True,976.7595269471975,920.5879874809692,1038.5068833412763,92,ok
maize,13.0,False,True,False,False,967.3811865836517,926.0988491895398,1010.0438422486526,92,ok
maize,13.0,False,True,False,True,1283.3199232274387,1231.1563466189154,1334.3118917559461,92,ok
maize,13.0,False,True,True,False,921.9533737556424,876.5470577878402,969.5655566490933,92,ok
maize,13.0,False,True,True,True,1343.3075675316286,1285.0274918581163,1400.2185300142828,92,ok
maize,13.0,True,False,False,False,844.2187549117573,793.4771252436149,899.7097618266781,92,ok
maize,13.0,True,False,False,True,1246.1276522059065,1185.7555949079704,1311.6479938759253,92,ok
maize,13.0,True,False,True,False,796.170664021132,749.2406285634162,856.0594068668913,92,ok
maize,13.0,True,False,True,True,1281.562453184461,1213.9630457173478,1359.3794138621122,92,ok
maize,13.0,True,True,False,False,1321.3217248413434,1258.03248964941,1386.9675124690632,92,ok
maize,13.0,True,True,False,True,1943.8599195726533,1856.025541772306,2027.7731186864958,92,ok
maize,13.0,True,True,True,False,1213.7497241415963,1161.6012512340128,1281.549552795034,92,ok
maize,13.0,True,True,True,True,1948.1935466379362,1871.0080648459889,2033.159971138266,92,ok
maize,21.0,False,False,False,False,627.4366356881142,586.0892608062007,660.6520698706543,93,ok
maize,21.0,False,False,False,True,724.1283133332049,682.4687828878288,772.1350432649941,93,ok
maize,21.0,False,False,True,False,836.8879057480724,795.3403728978612,875.6492743086792,93,ok
maize,21.0,False,False,True,True,929.428324120547,889.369413985856,978.4965064652147,93,ok
maize,21.0,False,True,False,False,910.1104005234571,865.710332304402,942.6459773808527,93,ok
maize,21.0,False,True,False,True,1020.35620359174,966.7708812587678,1057.656393250011,93,ok
maize,21.0,False,True,True,False,1057.6987783436562,1012.2721697890928,1094.3676287856372,93,ok
maize,21.0,False,True,True,True,1147.0310165896865,1103.609972714581,1185.2186535354085,93,ok
maize,21.0,True,False,False,False,700.3171639451817,645.491648924361,746.1804816162987,93,ok
maize,21.0,True,False,False,True,832.4657723126229,777.5933766563014,893.2396322032926,93,ok
maize,21.0,True,False,True,False,972.0123752294045,909.4769191503842,1027.5883825443157,93,ok
maize,21.0,True,False,True,True,1081.6162289288757,1020.7273349650303,1137.7216560627382,93,ok
maize,21.0,True,True,False,False,1162.381032106026,1084.5574391835821,1220.3177992536869,93,ok
maize,21.0,True,True,False,True,1369.5494686667755,1282.5264936391713,1431.7556879606725,93,ok
maize,21.0,True,True,True,False,1393.9286373560624,1308.01401929884,1456.5909887167936,93,ok
maize,21.0,True,True,True,True,1546.1807533183865,1463.7306161067788,1599.0616693039342,93,ok
