nisr_district_code,district_name,province,hdx_pcode,gaul_code
11,Nyarugenge,Kigali City,RW11,21996
12,Gasabo,Kigali City,RW12,21977
13,Kicukiro,Kigali City,RW13,21985
21,Nyanza,Southern Province,RW21,21995
22,Gisagara,Southern Province,RW22,21980
23,Nyaruguru,Southern Province,RW23,21997
24,Huye,Southern Province,RW24,21981
25,Nyamagabe,Southern Province,RW25,21993
26,Ruhango,Southern Province,RW26,21999
27,Muhanga,Southern Province,RW27,21987
28,Kamonyi,Southern Province,RW28,21982
31,Karongi,Western Province,RW31,21983
32,Rutsiro,Western Province,RW32,22002
33,Rubavu,Western Province,RW33,21998
34,Nyabihu,Western Province,RW34,21991
35,Ngororero,Western Province,RW35,21990
36,Rusizi,Western Province,RW36,22001
37,Nyamasheke,Western Province,RW37,21994
41,Rulindo,Northern Province,RW41,22000
42,Gakenke,Northern Province,RW42,21976
43,Musanze,Northern Province,RW43,21988
44,Burera,Northern Province,RW44,21975
45,Gicumbi,Northern Province,RW45,21979
51,Rwamagana,Eastern Province,RW51,22003
52,Nyagatare,Eastern Province,RW52,21992
53,Gatsibo,Eastern Province,RW53,21978
54,Kayonza,Eastern Province,RW54,21984
55,Kirehe,Eastern Province,RW55,21986
56,Ngoma,Eastern Province,RW56,21989
57,Bugesera,Eastern Province,RW57,21974
